Year,Acreage Planted,Varietal,Type
2017,7,Barbera,Red
2017,55,Cabernet Franc,Red
2017,1817,Cabernet Sauvignon,Red
2017,2,Carignane,Red
2017,6,Carmenere,Red
2017,0,Charbono,Red
2017,1,Cinsaut,Red
2017,1,Counoise,Red
2017,0,Dolcetto,Red
2017,0,Dornfelder,Red
2017,0,Gamay,Red
2017,0,Graciano,Red
2017,115,Grenache,Red
2017,0,Lagrein,Red
2017,53,Malbec,Red
2017,216,Merlot,Red
2017,1,Meunier,Red
2017,0,Mission,Red
2017,3,Montepulciano,Red
2017,48,Mourvedre,Red
2017,0,Muscat Hamburg,Red
2017,1,Nebbiolo,Red
2017,20,Petit Verdot,Red
2017,357,Petite Sirah,Red
2017,1389,Pinot Noir,Red
2017,1,Pinotage,Red
2017,42,Primitivo,Red
2017,12,Rubired,Red
2017,0,Ruby Cabernet,Red
2017,4,Sangiovese,Red
2017,0,Souzao,Red
2017,114,Syrah,Red
2017,1,Tannat,Red
2017,12,Tempranillo,Red
2017,59,Teroldego,Red
2017,0,Touriga Nacional,Red
2017,221,Zinfandel,Red
2017,52,Other Red Wine,Red
2017,72,Albarino,White
2017,0,Arneis,White
2017,877,Chardonnay,White
2017,2,Chenin Blanc,White
2017,5,French Colombard,White
2017,0,Gewurztraminer,White
2017,14,Grenache Blanc,White
2017,0,Gruner Veltliner,White
2017,0,Malvasia Bianca,White
2017,5,Marsanne,White
2017,0,Moscato Gaillo,White
2017,0,Muscat Blanc,White
2017,0,Muscat of Alexandria,White
2017,0,Muscat Orange,White
2017,6,Picpoul Blanc,White
2017,0,Pinot Blanc,White
2017,666,Pinot Gris,White
2017,1,Roussanne,White
2017,618,Sauvignon Blanc,White
2017,3,Sauvignon Musque,White
2017,0,Sauvignon Vert,White
2017,8,Semillon,White
2017,3,St. Emilion,White
2017,0,Symphony,White
2017,0,Tocai Friulano,White
2017,0,Triplett Blanc,White
2017,0,Verdelho,White
2017,1,Vermentino,White
2017,3,Viognier,White
2017,2,White Riesling,White
2017,41,Other White Wine,White
2012,4,Aglianico,Red
2012,139,Alicante Bouschet,Red
2012,45,Barbera,Red
2012,61,Cabernet Franc,Red
2012,3832,Cabernet Sauvignon,Red
2012,301,Carignane,Red
2012,1,Carmenere,Red
2012,0,Charbono,Red
2012,2,Cinsaut,Red
2012,0,Counoise,Red
2012,0,Dolcetto,Red
2012,0,Dornfelder,Red
2012,36,Gamay,Red
2012,0,Graciano,Red
2012,205,Grenache,Red
2012,0,Lagrein,Red
2012,635,Malbec,Red
2012,262,Merlot,Red
2012,0,Meunier,Red
2012,0,Mission,Red
2012,2,Montepulciano,Red
2012,25,Mourvedre,Red
2012,57,Muscat Hamburg,Red
2012,0,Nebbiolo,Red
2012,116,Petit Verdot,Red
2012,357,Petite Sirah,Red
2012,1000,Pinot Noir,Red
2012,0,Pinotage,Red
2012,127,Primitivo,Red
2012,171,Rubired,Red
2012,121,Ruby Cabernet,Red
2012,21,Sangiovese,Red
2012,7,Souzao,Red
2012,101,Syrah,Red
2012,156,Tannat,Red
2012,16,Tempranillo,Red
2012,0,Teroldego,Red
2012,0,Touriga Nacional,Red
2012,493,Zinfandel,Red
2012,202,Other Red Wine,Red
2012,2,Albarino,White
2012,2,Arneis,White
2012,1183,Chardonnay,White
2012,68,Chenin Blanc,White
2012,2006,French Colombard,White
2012,233,Gewurztraminer,White
2012,12,Grenache Blanc,White
2012,4,Gruner Veltliner,White
2012,1,Malvasia Bianca,White
2012,3,Marsanne,White
2012,150,Moscato Gaillo,White
2012,536,Muscat Blanc,White
2012,527,Muscat of Alexandria,White
2012,73,Muscat Orange,White
2012,3,Picpoul Blanc,White
2012,3,Pinot Blanc,White
2012,188,Pinot Gris,White
2012,5,Roussanne,White
2012,279,Sauvignon Blanc,White
2012,1,Sauvignon Musque,White
2012,0,Sauvignon Vert,White
2012,2,Semillon,White
2012,3,St. Emilion,White
2012,0,Symphony,White
2012,0,Tocai Friulano,White
2012,0,Triplett Blanc,White
2012,16,Verdelho,White
2012,13,Vermentino,White
2012,24,Viognier,White
2012,342,White Riesling,White
2012,12,Other White Wine,White
2015,9,Aglianico,Red
2015,4,Alicante Bouschet,Red
2015,15,Barbera,Red
2015,71,Cabernet Franc,Red
2015,3534,Cabernet Sauvignon,Red
2015,0,Carignane,Red
2015,3,Carmenere,Red
2015,2,Charbono,Red
