,County,PCP,Year,Month
148,Alpine County,0.33,2013,Jul
149,Alpine County,0.46,2013,Aug
150,Alpine County,0.89,2013,Sep
151,Alpine County,1.01,2013,Oct
152,Alpine County,0.91,2013,Noc
153,Alpine County,1.6,2013,Dec
154,Alpine County,2.98,2014,Jan
155,Alpine County,8.22,2014,Feb
156,Alpine County,3.45,2014,Mar
157,Alpine County,1.54,2014,Apr
158,Alpine County,1.47,2014,May
159,Alpine County,0.1,2014,Jun
160,Alpine County,1.42,2014,Jul
161,Alpine County,1.15,2014,Aug
162,Alpine County,1.52,2014,Sep
163,Alpine County,0.76,2014,Oct
164,Alpine County,2.33,2014,Noc
165,Alpine County,4.44,2014,Dec
166,Alpine County,0.22,2015,Jan
167,Alpine County,5.53,2015,Feb
168,Alpine County,0.62,2015,Mar
169,Alpine County,2.52,2015,Apr
170,Alpine County,2.99,2015,May
171,Alpine County,1.0,2015,Jun
172,Alpine County,1.81,2015,Jul
173,Alpine County,0.23,2015,Aug
174,Alpine County,0.39,2015,Sep
175,Alpine County,2.4,2015,Oct
176,Alpine County,4.68,2015,Noc
177,Alpine County,7.97,2015,Dec
178,Alpine County,8.29,2016,Jan
179,Alpine County,1.82,2016,Feb
180,Alpine County,6.74,2016,Mar
181,Alpine County,3.1,2016,Apr
182,Alpine County,1.67,2016,May
183,Alpine County,0.05,2016,Jun
184,Alpine County,0.01,2016,Jul
185,Alpine County,0.12,2016,Aug
186,Alpine County,0.32,2016,Sep
187,Alpine County,8.87,2016,Oct
188,Alpine County,1.93,2016,Noc
189,Alpine County,6.71,2016,Dec
190,Alpine County,22.13,2017,Jan
191,Alpine County,15.58,2017,Feb
192,Alpine County,4.79,2017,Mar
193,Alpine County,6.95,2017,Apr
194,Alpine County,1.44,2017,May
195,Alpine County,0.7,2017,Jun
196,Alpine County,0.04,2017,Jul
197,Alpine County,1.34,2017,Aug
198,Alpine County,2.39,2017,Sep
199,Alpine County,0.57,2017,Oct
200,Alpine County,7.7,2017,Noc
201,Alpine County,0.61,2017,Dec
202,Alpine County,3.65,2018,Jan
203,Alpine County,1.56,2018,Feb
204,Alpine County,12.57,2018,Mar
205,Alpine County,3.18,2018,Apr
206,Alpine County,1.68,2018,May
207,Alpine County,0.02,2018,Jun
208,Alpine County,0.7,2018,Jul
209,Alpine County,0.11,2018,Aug
210,Alpine County,0.1,2018,Sep
211,Alpine County,0.76,2018,Oct
212,Alpine County,5.16,2018,Noc
213,Alpine County,2.71,2018,Dec
214,Alpine County,8.17,2019,Jan
215,Alpine County,15.25,2019,Feb
216,Alpine County,6.43,2019,Mar
217,Alpine County,1.74,2019,Apr
218,Alpine County,3.12,2019,May
219,Alpine County,0.55,2019,Jun
220,Alpine County,0.55,2019,Jul
221,Alpine County,0.03,2019,Aug
222,Alpine County,0.87,2019,Sep
223,Alpine County,0.08,2019,Oct
224,Alpine County,2.61,2019,Noc
225,Alpine County,7.81,2019,Dec
226,Alpine County,1.86,2020,Jan
227,Alpine County,0.25,2020,Feb
228,Alpine County,5.25,2020,Mar
229,Alpine County,3.11,2020,Apr
230,Alpine County,1.43,2020,May
231,Alpine County,0.67,2020,Jun
232,Alpine County,0.54,2020,Jul
233,Alpine County,0.6,2020,Aug
234,Alpine County,0.22,2020,Sep
235,Alpine County,0.05,2020,Oct
236,Amador County,2.89,2011,Jan
237,Amador County,6.73,2011,Feb
238,Amador County,11.73,2011,Mar
239,Amador County,1.72,2011,Apr
240,Amador County,2.85,2011,May
241,Amador County,2.12,2011,Jun
242,Amador County,0.07,2011,Jul
243,Amador County,0.01,2011,Aug
244,Amador County,0.39,2011,Sep
245,Amador County,3.09,2011,Oct
246,Amador County,1.42,2011,Noc
247,Amador County,0.11,2011,Dec
248,Amador County,4.88,2012,Jan
249,Amador County,1.92,2012,Feb
250,Amador County,8.89,2012,Mar
