County,Temp,Year,Total Pcp
Mendocino,56,2013,15.5
Mendocino,58.1,2014,55.43
Mendocino,58,2015,35.42
Mendocino,56.6,2016,65.92
Mendocino,56.6,2017,61.04
Mendocino,56.2,2018,41.72
Mendocino,55.8,2019,62.39
Merced,60.8,2011,10.04
Merced,63.2,2012,10.16
Merced,63,2013,3.5
Merced,65.1,2014,10.12
Merced,64,2015,6.98
Merced,64,2016,14.46
Merced,64,2017,13.02
Merced,63.4,2018,10.5
Merced,63,2019,13.85
Modoc,45.5,2011,14.61
Modoc,47.6,2012,17.61
Modoc,46.8,2013,10.81
Modoc,49.7,2014,18.21
Modoc,49.8,2015,16.85
Modoc,48.4,2016,19.17
Modoc,48.2,2017,21.12
Modoc,48,2018,17.29
Modoc,46.7,2019,21.22
Mono,43.2,2011,13.92
Mono,46,2012,14.18
Mono,45.3,2013,6.08
Mono,47.2,2014,10.68
Mono,46.4,2015,14.08
Mono,46.3,2016,15.22
Mono,45.8,2017,26.45
Mono,46.1,2018,14.08
Mono,43.5,2019,19.12
Monterey,57.5,2011,20.3
Monterey,58.8,2012,19.94
Monterey,59.1,2013,4.18
Monterey,61.7,2014,19.93
Monterey,60.8,2015,11.24
Monterey,60,2016,20.86
Monterey,60.4,2017,25.02
Monterey,59.9,2018,19.21
Monterey,59.2,2019,30.5
Napa,58.2,2011,27.53
Napa,59.5,2012,39.43
Napa,60.1,2013,6.72
Napa,62,2014,33.28
Napa,61.6,2015,13.88
Napa,60.4,2016,36.01
Napa,60.8,2017,43.3
Napa,60.4,2018,24.56
Napa,60,2019,43.5
Nevada,50.7,2011,43.47
Nevada,53,2012,62.85
Nevada,53.2,2013,15.56
Nevada,55,2014,48.42
Nevada,54.8,2015,32.08
Nevada,53.4,2016,65.78
Nevada,53.7,2017,82.59
Nevada,53.8,2018,45.36
Nevada,52,2019,66.92
Orange,63.2,2011,9.47
Orange,65,2012,8.62
Orange,64.3,2013,4.21
Orange,67,2014,7.63
Orange,67,2015,5.91
Orange,66.1,2016,10.92
Orange,66.3,2017,13.2
Orange,65.8,2018,8.79
Orange,63.9,2019,21.24
Placer,52.2,2011,40.14
Placer,54.4,2012,54.97
Placer,54.6,2013,14.6
Placer,56.4,2014,42.03
Placer,56,2015,31
