County,Total Pcp,Year
Orange,10.92,2016
Orange,13.2,2017
Orange,8.79,2018
Orange,21.24,2019
Placer,40.14,2011
Placer,54.97,2012
Placer,14.6,2013
Placer,42.03,2014
Placer,31,2015
Placer,57.28,2016
Placer,75.84,2017
Placer,42.42,2018
Placer,61.82,2019
Plumas,35.98,2011
Plumas,52.28,2012
Plumas,12.06,2013
Plumas,39.05,2014
Plumas,26.23,2015
Plumas,52.75,2016
Plumas,68.34,2017
Plumas,35.36,2018
Plumas,56.14,2019
Riverside,6.34,2011
Riverside,6.21,2012
Riverside,4.87,2013
Riverside,5.23,2014
Riverside,5.43,2015
Riverside,8.04,2016
Riverside,7.94,2017
Riverside,5.82,2018
Riverside,12.78,2019
Sacramento,17.39,2011
Sacramento,22.58,2012
Sacramento,6.41,2013
Sacramento,18.89,2014
Sacramento,9.56,2015
Sacramento,22.67,2016
Sacramento,27.87,2017
Sacramento,18.95,2018
Sacramento,25.88,2019
San Benito,17.41,2011
San Benito,16.7,2012
San Benito,3.53,2013
San Benito,15.71,2014
San Benito,10.12,2015
San Benito,17.65,2016
San Benito,18.11,2017
San Benito,15.78,2018
San Benito,22.97,2019
San Bernardino,4.77,2011
San Bernardino,5.06,2012
San Bernardino,4.37,2013
San Bernardino,4.82,2014
San Bernardino,5.54,2015
San Bernardino,6.6,2016
San Bernardino,5.56,2017
San Bernardino,5.11,2018
San Bernardino,10.79,2019
San Diego,12.78,2011
San Diego,9.8,2012
San Diego,7.86,2013
San Diego,8.07,2014
San Diego,9.08,2015
San Diego,13.17,2016
San Diego,12.79,2017
San Diego,9.69,2018
San Diego,21.17,2019
San Francisco,21.16,2011
San Francisco,30.87,2012
San Francisco,6.21,2013
San Francisco,28.74,2014
San Francisco,11.15,2015
San Francisco,28.85,2016
San Francisco,31.59,2017
San Francisco,22.51,2018
San Francisco,29.56,2019
San Joaquin,11.61,2011
San Joaquin,15.68,2012
San Joaquin,5.06,2013
San Joaquin,14.4,2014
San Joaquin,7.69,2015
San Joaquin,18.33,2016
San Joaquin,19.08,2017
San Joaquin,14.35,2018
San Joaquin,17.6,2019
San Luis Obispo,15.48,2011
San Luis Obispo,13.9,2012
San Luis Obispo,3.12,2013
San Luis Obispo,12.18,2014
San Luis Obispo,6.65,2015
San Luis Obispo,16.06,2016
San Luis Obispo,20.89,2017
San Luis Obispo,14.4,2018
San Luis Obispo,23.65,2019
San Mateo,22.94,2011
San Mateo,33.17,2012
San Mateo,6.19,2013
San Mateo,28.55,2014
San Mateo,14.07,2015
San Mateo,33.08,2016
San Mateo,36.79,2017
San Mateo,22.73,2018
San Mateo,34.33,2019
Santa Barbara,16.36,2011
