id,County,Temp,Total_pcp,Year
196,Mariposa,56.9,30.17,2018
197,Mariposa,55.0,38.06,2019
198,Mendocino,54.3,42.9,2011
199,Mendocino,55.4,59.58,2012
200,Mendocino,56.0,15.5,2013
201,Mendocino,58.1,55.43,2014
202,Mendocino,58.0,35.42,2015
203,Mendocino,56.6,65.92,2016
204,Mendocino,56.6,61.04,2017
205,Mendocino,56.2,41.72,2018
206,Mendocino,55.8,62.39,2019
207,Merced,60.8,10.04,2011
208,Merced,63.2,10.16,2012
209,Merced,63.0,3.5,2013
210,Merced,65.1,10.12,2014
211,Merced,64.0,6.98,2015
212,Merced,64.0,14.46,2016
213,Merced,64.0,13.02,2017
214,Merced,63.4,10.5,2018
215,Merced,63.0,13.85,2019
216,Modoc,45.5,14.61,2011
217,Modoc,47.6,17.61,2012
218,Modoc,46.8,10.81,2013
219,Modoc,49.7,18.21,2014
220,Modoc,49.8,16.85,2015
221,Modoc,48.4,19.17,2016
222,Modoc,48.2,21.12,2017
223,Modoc,48.0,17.29,2018
224,Modoc,46.7,21.22,2019
225,Mono,43.2,13.92,2011
226,Mono,46.0,14.18,2012
227,Mono,45.3,6.08,2013
228,Mono,47.2,10.68,2014
229,Mono,46.4,14.08,2015
230,Mono,46.3,15.22,2016
231,Mono,45.8,26.45,2017
232,Mono,46.1,14.08,2018
233,Mono,43.5,19.12,2019
234,Monterey,57.5,20.3,2011
235,Monterey,58.8,19.94,2012
236,Monterey,59.1,4.18,2013
237,Monterey,61.7,19.93,2014
238,Monterey,60.8,11.24,2015
239,Monterey,60.0,20.86,2016
240,Monterey,60.4,25.02,2017
241,Monterey,59.9,19.21,2018
242,Monterey,59.2,30.5,2019
243,Napa,58.2,27.53,2011
244,Napa,59.5,39.43,2012
245,Napa,60.1,6.72,2013
246,Napa,62.0,33.28,2014
247,Napa,61.6,13.88,2015
248,Napa,60.4,36.01,2016
249,Napa,60.8,43.3,2017
250,Napa,60.4,24.56,2018
251,Napa,60.0,43.5,2019
252,Nevada,50.7,43.47,2011
253,Nevada,53.0,62.85,2012
254,Nevada,53.2,15.56,2013
255,Nevada,55.0,48.42,2014
256,Nevada,54.8,32.08,2015
257,Nevada,53.4,65.78,2016
258,Nevada,53.7,82.59,2017
259,Nevada,53.8,45.36,2018
260,Nevada,52.0,66.92,2019
261,Orange,63.2,9.47,2011
262,Orange,65.0,8.62,2012
263,Orange,64.3,4.21,2013
264,Orange,67.0,7.63,2014
265,Orange,67.0,5.91,2015
266,Orange,66.1,10.92,2016
267,Orange,66.3,13.2,2017
268,Orange,65.8,8.79,2018
269,Orange,63.9,21.24,2019
270,Placer,52.2,40.14,2011
271,Placer,54.4,54.97,2012
272,Placer,54.6,14.6,2013
273,Placer,56.4,42.03,2014
274,Placer,56.0,31.0,2015
275,Placer,55.0,57.28,2016
276,Placer,55.0,75.84,2017
277,Placer,55.0,42.42,2018
278,Placer,53.4,61.82,2019
279,Plumas,46.3,35.98,2011
280,Plumas,48.5,52.28,2012
281,Plumas,47.9,12.06,2013
282,Plumas,50.3,39.05,2014
283,Plumas,50.0,26.23,2015
284,Plumas,48.9,52.75,2016
285,Plumas,48.7,68.34,2017
286,Plumas,48.6,35.36,2018
287,Plumas,47.1,56.14,2019
288,Riverside,67.5,6.34,2011
289,Riverside,69.7,6.21,2012
290,Riverside,68.9,4.87,2013
291,Riverside,70.8,5.23,2014
292,Riverside,70.0,5.43,2015
293,Riverside,70.1,8.04,2016
294,Riverside,70.7,7.94,2017
295,Riverside,70.2,5.82,2018
296,Riverside,67.6,12.78,2019
297,Sacramento,60.5,17.39,2011
298,Sacramento,62.4,22.58,2012
299,Sacramento,62.7,6.41,2013
300,Sacramento,64.9,18.89,2014
301,Sacramento,64.1,9.56,2015
302,Sacramento,63.5,22.67,2016
303,Sacramento,63.7,27.87,2017
304,Sacramento,62.9,18.95,2018
305,Sacramento,62.8,25.88,2019
306,San Benito,57.6,17.41,2011
307,San Benito,59.5,16.7,2012
308,San Benito,59.7,3.53,2013
309,San Benito,62.2,15.71,2014
310,San Benito,61.1,10.12,2015
311,San Benito,60.4,17.65,2016
312,San Benito,60.7,18.11,2017
313,San Benito,60.3,15.78,2018
314,San Benito,59.1,22.97,2019
315,San Bernardino,65.5,4.77,2011
316,San Bernardino,68.0,5.06,2012
317,San Bernardino,67.0,4.37,2013
318,San Bernardino,69.0,4.82,2014
319,San Bernardino,68.1,5.54,2015
320,San Bernardino,68.1,6.6,2016
321,San Bernardino,68.7,5.56,2017
322,San Bernardino,68.4,5.11,2018
323,San Bernardino,65.5,10.79,2019
324,San Diego,62.0,12.78,2011
325,San Diego,63.9,9.8,2012
326,San Diego,63.4,7.86,2013
327,San Diego,65.9,8.07,2014
328,San Diego,64.9,9.08,2015
329,San Diego,64.8,13.17,2016
330,San Diego,65.2,12.79,2017
331,San Diego,64.8,9.69,2018
332,San Diego,62.5,21.17,2019
333,San Francisco,56.1,21.16,2011
334,San Francisco,56.5,30.87,2012
335,San Francisco,57.1,6.21,2013
336,San Francisco,59.9,28.74,2014
337,San Francisco,59.4,11.15,2015
338,San Francisco,58.3,28.85,2016
339,San Francisco,58.5,31.59,2017
340,San Francisco,57.6,22.51,2018
341,San Francisco,57.9,29.56,2019
342,San Joaquin,60.4,11.61,2011
343,San Joaquin,62.2,15.68,2012
344,San Joaquin,62.2,5.06,2013
345,San Joaquin,64.5,14.4,2014
346,San Joaquin,63.9,7.69,2015
347,San Joaquin,63.3,18.33,2016
348,San Joaquin,63.7,19.08,2017
349,San Joaquin,63.3,14.35,2018
350,San Joaquin,62.7,17.6,2019
351,San Luis Obispo,58.4,15.48,2011
352,San Luis Obispo,60.2,13.9,2012
353,San Luis Obispo,60.6,3.12,2013
354,San Luis Obispo,62.7,12.18,2014
355,San Luis Obispo,61.4,6.65,2015
356,San Luis Obispo,61.1,16.06,2016
357,San Luis Obispo,61.7,20.89,2017
358,San Luis Obispo,61.1,14.4,2018
359,San Luis Obispo,59.7,23.65,2019
360,San Mateo,56.0,22.94,2011
361,San Mateo,56.6,33.17,2012
362,San Mateo,57.2,6.19,2013
363,San Mateo,59.6,28.55,2014
364,San Mateo,59.2,14.07,2015
365,San Mateo,58.2,33.08,2016
366,San Mateo,58.4,36.79,2017
367,San Mateo,57.6,22.73,2018
368,San Mateo,57.9,34.33,2019
369,Santa Barbara,57.6,16.36,2011
370,Santa Barbara,59.0,12.51,2012
371,Santa Barbara,59.0,3.94,2013
372,Santa Barbara,61.8,13.21,2014
373,Santa Barbara,61.2,5.05,2015
374,Santa Barbara,60.4,15.99,2016
375,Santa Barbara,60.7,20.52,2017
376,Santa Barbara,60.2,12.72,2018
377,Santa Barbara,58.9,26.65,2019
378,Santa Clara,57.2,19.71,2011
379,Santa Clara,58.6,25.16,2012
380,Santa Clara,58.9,5.12,2013
381,Santa Clara,61.0,24.39,2014
382,Santa Clara,60.4,13.73,2015
383,Santa Clara,59.9,29.64,2016
384,Santa Clara,59.8,31.53,2017
385,Santa Clara,59.5,21.1,2018
386,Santa Clara,59.0,32.17,2019
387,Santa Cruz,56.5,28.46,2011
388,Santa Cruz,56.9,36.02,2012
389,Santa Cruz,58.0,6.07,2013
390,Santa Cruz,60.2,33.51,2014
391,Santa Cruz,60.1,17.02,2015
392,Santa Cruz,58.9,40.44,2016
393,Santa Cruz,58.9,47.63,2017
394,Santa Cruz,58.4,27.33,2018
395,Santa Cruz,58.5,46.24,2019
396,Shasta,53.8,35.57,2011
397,Shasta,55.3,50.76,2012
398,Shasta,56.2,14.77,2013
399,Shasta,57.9,44.52,2014
400,Shasta,58.0,27.65,2015
401,Shasta,56.3,57.21,2016
402,Shasta,56.6,52.95,2017
403,Shasta,56.6,34.13,2018
404,Shasta,55.2,54.84,2019
405,Sierra,45.9,40.07,2011
406,Sierra,48.2,54.97,2012
407,Sierra,47.8,13.57,2013
408,Sierra,50.0,41.88,2014
409,Sierra,49.7,31.09,2015
410,Sierra,48.6,60.57,2016
411,Sierra,48.7,80.2,2017
412,Sierra,48.7,39.27,2018
413,Sierra,46.9,60.82,2019
414,Siskiyou,47.6,31.04,2011
415,Siskiyou,49.3,45.16,2012
