,County,Total Pcp,Year
226,Mono,14.18,2012
227,Mono,6.08,2013
228,Mono,10.68,2014
229,Mono,14.08,2015
230,Mono,15.22,2016
231,Mono,26.45,2017
232,Mono,14.08,2018
233,Mono,19.12,2019
234,Monterey,20.3,2011
235,Monterey,19.94,2012
236,Monterey,4.18,2013
237,Monterey,19.93,2014
238,Monterey,11.24,2015
239,Monterey,20.86,2016
240,Monterey,25.02,2017
241,Monterey,19.21,2018
242,Monterey,30.5,2019
243,Napa,27.53,2011
244,Napa,39.43,2012
245,Napa,6.72,2013
246,Napa,33.28,2014
247,Napa,13.88,2015
248,Napa,36.01,2016
249,Napa,43.3,2017
250,Napa,24.56,2018
251,Napa,43.5,2019
252,Nevada,43.47,2011
253,Nevada,62.85,2012
254,Nevada,15.56,2013
255,Nevada,48.42,2014
256,Nevada,32.08,2015
257,Nevada,65.78,2016
258,Nevada,82.59,2017
259,Nevada,45.36,2018
260,Nevada,66.92,2019
261,Orange,9.47,2011
262,Orange,8.62,2012
263,Orange,4.21,2013
264,Orange,7.63,2014
265,Orange,5.91,2015
266,Orange,10.92,2016
267,Orange,13.2,2017
268,Orange,8.79,2018
269,Orange,21.24,2019
270,Placer,40.14,2011
271,Placer,54.97,2012
272,Placer,14.6,2013
273,Placer,42.03,2014
274,Placer,31.0,2015
275,Placer,57.28,2016
276,Placer,75.84,2017
277,Placer,42.42,2018
278,Placer,61.82,2019
279,Plumas,35.98,2011
280,Plumas,52.28,2012
281,Plumas,12.06,2013
282,Plumas,39.05,2014
283,Plumas,26.23,2015
284,Plumas,52.75,2016
285,Plumas,68.34,2017
286,Plumas,35.36,2018
287,Plumas,56.14,2019
288,Riverside,6.34,2011
289,Riverside,6.21,2012
290,Riverside,4.87,2013
291,Riverside,5.23,2014
292,Riverside,5.43,2015
293,Riverside,8.04,2016
294,Riverside,7.94,2017
295,Riverside,5.82,2018
296,Riverside,12.78,2019
297,Sacramento,17.39,2011
298,Sacramento,22.58,2012
299,Sacramento,6.41,2013
300,Sacramento,18.89,2014
301,Sacramento,9.56,2015
302,Sacramento,22.67,2016
303,Sacramento,27.87,2017
304,Sacramento,18.95,2018
305,Sacramento,25.88,2019
306,San Benito,17.41,2011
307,San Benito,16.7,2012
308,San Benito,3.53,2013
309,San Benito,15.71,2014
310,San Benito,10.12,2015
311,San Benito,17.65,2016
312,San Benito,18.11,2017
313,San Benito,15.78,2018
314,San Benito,22.97,2019
315,San Bernardino,4.77,2011
316,San Bernardino,5.06,2012
317,San Bernardino,4.37,2013
318,San Bernardino,4.82,2014
319,San Bernardino,5.54,2015
320,San Bernardino,6.6,2016
321,San Bernardino,5.56,2017
322,San Bernardino,5.11,2018
323,San Bernardino,10.79,2019
324,San Diego,12.78,2011
325,San Diego,9.8,2012
326,San Diego,7.86,2013
327,San Diego,8.07,2014
328,San Diego,9.08,2015
329,San Diego,13.17,2016
330,San Diego,12.79,2017
331,San Diego,9.69,2018
332,San Diego,21.17,2019
333,San Francisco,21.16,2011
334,San Francisco,30.87,2012
335,San Francisco,6.21,2013
336,San Francisco,28.74,2014
337,San Francisco,11.15,2015
338,San Francisco,28.85,2016
339,San Francisco,31.59,2017
340,San Francisco,22.51,2018
341,San Francisco,29.56,2019
342,San Joaquin,11.61,2011
343,San Joaquin,15.68,2012
344,San Joaquin,5.06,2013
345,San Joaquin,14.4,2014
346,San Joaquin,7.69,2015
347,San Joaquin,18.33,2016
348,San Joaquin,19.08,2017
349,San Joaquin,14.35,2018
350,San Joaquin,17.6,2019
351,San Luis Obispo,15.48,2011
352,San Luis Obispo,13.9,2012
353,San Luis Obispo,3.12,2013
354,San Luis Obispo,12.18,2014
355,San Luis Obispo,6.65,2015
356,San Luis Obispo,16.06,2016
357,San Luis Obispo,20.89,2017
358,San Luis Obispo,14.4,2018
359,San Luis Obispo,23.65,2019
360,San Mateo,22.94,2011
361,San Mateo,33.17,2012
362,San Mateo,6.19,2013
363,San Mateo,28.55,2014
364,San Mateo,14.07,2015
365,San Mateo,33.08,2016
366,San Mateo,36.79,2017
367,San Mateo,22.73,2018
368,San Mateo,34.33,2019
369,Santa Barbara,16.36,2011
370,Santa Barbara,12.51,2012
371,Santa Barbara,3.94,2013
372,Santa Barbara,13.21,2014
373,Santa Barbara,5.05,2015
374,Santa Barbara,15.99,2016
375,Santa Barbara,20.52,2017
376,Santa Barbara,12.72,2018
377,Santa Barbara,26.65,2019
378,Santa Clara,19.71,2011
379,Santa Clara,25.16,2012
380,Santa Clara,5.12,2013
381,Santa Clara,24.39,2014
382,Santa Clara,13.73,2015
383,Santa Clara,29.64,2016
384,Santa Clara,31.53,2017
385,Santa Clara,21.1,2018
386,Santa Clara,32.17,2019
387,Santa Cruz,28.46,2011
388,Santa Cruz,36.02,2012
389,Santa Cruz,6.07,2013
390,Santa Cruz,33.51,2014
391,Santa Cruz,17.02,2015
392,Santa Cruz,40.44,2016
393,Santa Cruz,47.63,2017
394,Santa Cruz,27.33,2018
