,County,Temp,Year
226,Mono,46.0,2012
227,Mono,45.3,2013
228,Mono,47.2,2014
229,Mono,46.4,2015
230,Mono,46.3,2016
231,Mono,45.8,2017
232,Mono,46.1,2018
233,Mono,43.5,2019
234,Monterey,57.5,2011
235,Monterey,58.8,2012
236,Monterey,59.1,2013
237,Monterey,61.7,2014
238,Monterey,60.8,2015
239,Monterey,60.0,2016
240,Monterey,60.4,2017
241,Monterey,59.9,2018
242,Monterey,59.2,2019
243,Napa,58.2,2011
244,Napa,59.5,2012
245,Napa,60.1,2013
246,Napa,62.0,2014
247,Napa,61.6,2015
248,Napa,60.4,2016
249,Napa,60.8,2017
250,Napa,60.4,2018
251,Napa,60.0,2019
252,Nevada,50.7,2011
253,Nevada,53.0,2012
254,Nevada,53.2,2013
255,Nevada,55.0,2014
256,Nevada,54.8,2015
257,Nevada,53.4,2016
258,Nevada,53.7,2017
259,Nevada,53.8,2018
260,Nevada,52.0,2019
261,Orange,63.2,2011
262,Orange,65.0,2012
263,Orange,64.3,2013
264,Orange,67.0,2014
265,Orange,67.0,2015
266,Orange,66.1,2016
267,Orange,66.3,2017
268,Orange,65.8,2018
269,Orange,63.9,2019
270,Placer,52.2,2011
271,Placer,54.4,2012
272,Placer,54.6,2013
273,Placer,56.4,2014
274,Placer,56.0,2015
275,Placer,55.0,2016
276,Placer,55.0,2017
277,Placer,55.0,2018
278,Placer,53.4,2019
279,Plumas,46.3,2011
280,Plumas,48.5,2012
281,Plumas,47.9,2013
282,Plumas,50.3,2014
283,Plumas,50.0,2015
284,Plumas,48.9,2016
285,Plumas,48.7,2017
286,Plumas,48.6,2018
287,Plumas,47.1,2019
288,Riverside,67.5,2011
289,Riverside,69.7,2012
290,Riverside,68.9,2013
291,Riverside,70.8,2014
292,Riverside,70.0,2015
293,Riverside,70.1,2016
294,Riverside,70.7,2017
295,Riverside,70.2,2018
296,Riverside,67.6,2019
297,Sacramento,60.5,2011
298,Sacramento,62.4,2012
299,Sacramento,62.7,2013
300,Sacramento,64.9,2014
301,Sacramento,64.1,2015
302,Sacramento,63.5,2016
303,Sacramento,63.7,2017
304,Sacramento,62.9,2018
305,Sacramento,62.8,2019
306,San Benito,57.6,2011
307,San Benito,59.5,2012
308,San Benito,59.7,2013
309,San Benito,62.2,2014
310,San Benito,61.1,2015
311,San Benito,60.4,2016
312,San Benito,60.7,2017
313,San Benito,60.3,2018
314,San Benito,59.1,2019
315,San Bernardino,65.5,2011
316,San Bernardino,68.0,2012
317,San Bernardino,67.0,2013
318,San Bernardino,69.0,2014
319,San Bernardino,68.1,2015
320,San Bernardino,68.1,2016
321,San Bernardino,68.7,2017
322,San Bernardino,68.4,2018
323,San Bernardino,65.5,2019
324,San Diego,62.0,2011
325,San Diego,63.9,2012
326,San Diego,63.4,2013
327,San Diego,65.9,2014
328,San Diego,64.9,2015
329,San Diego,64.8,2016
330,San Diego,65.2,2017
331,San Diego,64.8,2018
332,San Diego,62.5,2019
333,San Francisco,56.1,2011
334,San Francisco,56.5,2012
335,San Francisco,57.1,2013
336,San Francisco,59.9,2014
337,San Francisco,59.4,2015
338,San Francisco,58.3,2016
339,San Francisco,58.5,2017
340,San Francisco,57.6,2018
341,San Francisco,57.9,2019
342,San Joaquin,60.4,2011
343,San Joaquin,62.2,2012
344,San Joaquin,62.2,2013
345,San Joaquin,64.5,2014
346,San Joaquin,63.9,2015
347,San Joaquin,63.3,2016
348,San Joaquin,63.7,2017
349,San Joaquin,63.3,2018
350,San Joaquin,62.7,2019
351,San Luis Obispo,58.4,2011
352,San Luis Obispo,60.2,2012
353,San Luis Obispo,60.6,2013
