County,Date,PCP
Merced County,201701,5.81
Merced County,201801,2.2
Merced County,201901,2.3
Modoc County,201101,0.78
Modoc County,201201,1.67
Modoc County,201301,1.27
Modoc County,201401,0.51
Modoc County,201501,0.39
Modoc County,201601,3.95
Modoc County,201701,4.59
Modoc County,201801,2.01
Modoc County,201901,3.18
Mono County,201101,0.75
Mono County,201201,2.11
Mono County,201301,0.39
Mono County,201401,1.08
Mono County,201501,0.18
Mono County,201601,2.71
Mono County,201701,10.09
Mono County,201801,1.06
Mono County,201901,3.19
Monterey County,201101,2.6
Monterey County,201201,2.65
Monterey County,201301,1.31
Monterey County,201401,0.11
Monterey County,201501,0.1
Monterey County,201601,6.92
Monterey County,201701,12.07
Monterey County,201801,3.93
Monterey County,201901,5.09
Napa County,201101,2.17
Napa County,201201,5.42
Napa County,201301,0.98
Napa County,201401,0.13
Napa County,201501,0.06
Napa County,201601,9.59
Napa County,201701,17.81
Napa County,201801,5.5
Napa County,201901,8.69
Nevada County,201101,2.16
Nevada County,201201,7.41
Nevada County,201301,1.18
Nevada County,201401,2.01
Nevada County,201501,0.11
Nevada County,201601,14.36
Nevada County,201701,26.44
Nevada County,201801,8.09
Nevada County,201901,12.94
Orange County,201101,0.8
Orange County,201201,0.93
Orange County,201301,1.14
Orange County,201401,0.04
Orange County,201501,0.84
Orange County,201601,2.54
Orange County,201701,8.31
Orange County,201801,1.7
Orange County,201901,5.07
Placer County,201101,2.04
Placer County,201201,6.86
Placer County,201301,1.23
Placer County,201401,2.26
Placer County,201501,0.12
Placer County,201601,12.37
Placer County,201701,25.03
Placer County,201801,7.27
Placer County,201901,11.64
Plumas County,201101,1.22
Plumas County,201201,6.44
Plumas County,201301,1.21
Plumas County,201401,1.27
Plumas County,201501,0.15
Plumas County,201601,11.63
Plumas County,201701,20.55
Plumas County,201801,5.8
Plumas County,201901,11.38
Riverside County,201101,0.27
Riverside County,201201,0.2
Riverside County,201301,1
Riverside County,201401,0.03
Riverside County,201501,0.75
Riverside County,201601,2.32
Riverside County,201701,4.09
Riverside County,201801,1.29
Riverside County,201901,2.03
Sacramento County,201101,1.54
Sacramento County,201201,2.6
Sacramento County,201301,1.1
Sacramento County,201401,0.22
Sacramento County,201501,0.02
Sacramento County,201601,5.86
Sacramento County,201701,10.18
Sacramento County,201801,4.47
Sacramento County,201901,4.53
San Benito County,201101,2.44
San Benito County,201201,1.89
San Benito County,201301,1.19
San Benito County,201401,0.22
San Benito County,201501,0.04
San Benito County,201601,5.78
San Benito County,201701,9.17
San Benito County,201801,3.34
San Benito County,201901,3.51
San Bernardino County,201101,0.13
San Bernardino County,201201,0.15
San Bernardino County,201301,0.73
San Bernardino County,201401,0.02
San Bernardino County,201501,1.01
San Bernardino County,201601,1.49
San Bernardino County,201701,2.91
San Bernardino County,201801,1.12
San Bernardino County,201901,1.87
San Diego County,201101,0.96
San Diego County,201201,0.72
