Year,Year
2011,197.42592592592592
2012,219.46296296296296
2013,193.7962962962963
2014,207.44444444444446
2015,214.6851851851852
2016,221.27777777777777
2017,213.79245283018867
2018,203.18867924528303
2019,244.60377358490567
