County,2011_bearing,2011_non_bearing,2011_total,2012_bearing,2012_non_bearing,2012_total,2013_bearing,2013_non_bearing,2013_total,2014_bearing,2014_non_bearing,2014_total,2015_bearing,2015_non_bearing,2015_total,2016_bearing,2016_non_bearing,2016_total,2017_bearing,2017_non_bearing,2017_total,2018_bearing,2018_non_bearing,2018_total,2019_bearing,2019_non_bearing,2019_total
Santa Barbara,"16,823",356,"17,178","16,000",580,"16,580","16,303","1,028","17,331","15,764",954,"16,718","15,104",802,"15,906","15,278",547,"15,825","14,784",834,"15,619","14,874",689,"15,563","14,852",898,"15,750"
Santa Clara,"1,542",31,"1,573","1,576",45,"1,622","1,510",36,"1,546","1,513",102,"1,615","1,498",85,"1,583","1,502",59,"1,561","1,501",51,"1,552","1,417",58,"1,474","1,499",27,"1,526"
Santa Cruz,438,7,445,434,13,446,454,12,466,471,17,488,473,15,488,477,14,490,459,6,465,490,4,493,512,3,516
Shasta,98,0,98,75,4,78,92,4,96,93,4,97,97,1,98,97,1,98,96,1,97,57,0,57,57,0,57
Siskiyou,18,0,18,16,0,16,16,0,16,17,0,17,15,0,15,10,0,10,10,0,10,10,0,10,11,0,11
Solano,"3,464",96,"3,560","3,394",98,"3,492","3,541",145,"3,686","3,611",241,"3,852","3,538",323,"3,861","3,402",422,"3,824","3,469",319,"3,788","3,716",117,"3,832","3,725",125,"3,850"
Sonoma,"57,576","1,150","58,726","58,397",477,"58,874","59,359",878,"60,237","58,961","1,014","59,974","58,134","1,441","59,575","58,007","1,501","59,508","57,444","1,609","59,052","57,340","1,854","59,193","57,539","1,787","59,326"
Stanislaus,"7,625",145,"7,769","7,563",151,"7,714","7,462",374,"7,836","7,299",487,"7,786","6,832",553,"7,385","6,912",204,"7,115","6,386",158,"6,544","6,096",197,"6,293","6,184",8,"6,192"
Sutter,95,5,99,99,0,99,104,0,104,57,0,57,21,0,21,21,0,21,21,0,21,23,1,23,22,1,22
Tehama,65,0,65,65,2,68,110,3,113,109,3,112,112,4,116,112,4,116,113,2,115,115,0,115,115,0,115
Trinity,129,0,129,128,0,128,129,1,129,129,1,131,129,1,131,92,1,93,93,0,93,94,0,94,93,4,97
Tulare,"7,973",287,"8,261","7,579",648,"8,227","7,753",542,"8,295","7,695","1,038","8,733","7,140",736,"7,876","5,464",305,"5,769","5,492",191,"5,683","5,906",142,"6,048","5,725",125,"5,850"
Tuolumne,30,0,30,30,0,30,21,0,21,24,4,28,28,1,29,24,0,24,24,0,24,24,0,24,24,0,24
Ventura,51,0,52,30,0,31,37,0,37,40,0,40,40,1,40,36,5,40,36,5,40,33,5,38,34,0,34
Yolo,"12,090",543,"12,632","12,129",626,"12,755","12,265","1,387","13,652","12,303","1,569","13,872","12,501","1,415","13,915","13,089",842,"13,931","13,203",463,"13,666","13,741",613,"14,354","14,252",620,"14,872"
Yuba,64,0,64,64,0,64,71,3,73,63,3,65,65,0,65,63,0,63,63,0,63,63,0,63,63,0,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Total,"462,023","18,299","480,321","459,187","19,222","478,409","469,061","25,131","494,192","465,968","30,345","496,313","464,029","28,671","492,701","459,629","23,012","482,641","460,438","19,277","479,715","461,096","18,218","479,314","460,025","17,016","477,041"
