varietal,type,bearing,non_bearing,total,bearing_percent,year
Aglianico,red,47,9,57,0.82,2013
Alicante Bouschet,red,1088,4,1091,1,2013
Barbera,red,6286,42,6328,0.99,2013
Cabernet Franc,red,3331,98,3429,0.97,2013
Cabernet Sauvignon,red,76691,3939,80630,0.95,2013
Carignane,red,2547,11,2558,1,2013
Carmenere,red,56,1,56,1,2013
Carnelian,red,514,0,514,1,2013
Centurian,red,84,0,84,1,2013
Charbono,red,87,1,88,0.99,2013
Cinsaut,red,82,4,86,0.95,2013
Counoise,red,50,5,56,0.89,2013
Dolcetto,red,109,2,111,0.98,2013
Gamay,red,277,13,290,0.96,2013
Grenache,red,5846,174,6020,0.97,2013
Malbec,red,1745,944,2689,0.65,2013
Mataro *,red,873,81,954,0.92,2013
Merlot,red,45260,429,45689,0.99,2013
Meunier *,red,204,0,204,1,2013
Mission,red,643,0,643,1,2013
Montepulciano,red,76,15,92,0.83,2013
Muscat Hamburg *,red,208,453,661,0.31,2013
Nebbiolo,red,162,3,165,0.98,2013
Petit Verdot,red,2103,124,2228,0.94,2013
Petite Sirah,red,7957,680,8637,0.92,2013
Pinot Noir,red,38049,1562,39610,0.96,2013
Pinotage,red,58,0,58,1,2013
Primitivo,red,242,63,305,0.79,2013
Royalty,red,230,0,230,1,2013
Rubired,red,10903,1317,12220,0.89,2013
Ruby Cabernet,red,5801,273,6074,0.96,2013
Salvador,red,66,0,66,1,2013
Sangiovese,red,1831,63,1894,0.97,2013
Souzao,red,78,8,86,0.91,2013
Syrah,red,18620,178,18798,0.99,2013
Tannat,red,252,133,384,0.66,2013
Tempranillo,red,886,39,925,0.96,2013
Teroldego,red,81,6,87,0.93,2013
Touriga Nacional,red,253,4,257,0.98,2013
Zinfandel,red,46857,746,47603,0.98,2013
Other Red Wine,red,5953,267,6220,0.96,2013
Albarino,white,169,11,180,0.94,2013
Burger,white,1165,0,1165,1,2013
Catarratto,white,154,21,175,0.88,2013
Chardonnay,white,93153,1921,95074,0.98,2013
Chenin Blanc,white,5936,154,6090,0.97,2013
Emerald Riesling,white,152,0,152,1,2013
French Colombard,white,21020,1467,22487,0.93,2013
Gewurztraminer,white,1624,128,1752,0.93,2013
Grenache Blanc,white,247,20,267,0.93,2013
Gruner Veltliner,white,83,5,87,0.95,2013
Malvasia Bianca,white,1217,89,1306,0.93,2013
Marsanne,white,109,5,114,0.96,2013
Muscat Blanc,white,1714,579,2293,0.75,2013
Muscat of Alexandria,white,3298,882,4180,0.79,2013
Muscat Orange,white,289,41,329,0.88,2013
Palomino,white,289,0,289,1,2013
Pinot Blanc,white,425,0,425,1,2013
Pinot Gris,white,12473,393,12866,0.97,2013
Roussanne,white,307,18,324,0.95,2013
Sauvignon Blanc,white,14911,349,15259,0.98,2013
Sauvignon Musque,white,220,9,229,0.96,2013
Semillon,white,824,9,833,0.99,2013
St. Emilion,white,198,1,199,0.99,2013
Symphony,white,901,709,1610,0.56,2013
Tocai Friulano,white,122,5,126,0.97,2013
Triplett Blanc,white,868,0,868,1,2013
Verdelho,white,90,2,92,0.98,2013
Viognier,white,2930,71,3001,0.98,2013
White Riesling,white,4038,414,4452,0.91,2013
Other White Wine,white,3778,233,4011,0.94,2013
