varietal,type,bearing,non_bearing,total,bearing_percent,year
Aglianico,red,65,14,80,0.81,2018
Alicante Bouschet,red,887,14,902,0.98,2018
Barbera,red,4807,83,4889,0.98,2018
Cabernet Franc,red,3382,135,3517,0.96,2018
Cabernet Sauvignon,red,85191,6642,91834,0.93,2018
Carignane,red,2401,2,2403,1,2018
Carmenere,red,64,4,68,0.94,2018
Carnelian,red,262,0,262,1,2018
Centurian,red,80,0,80,1,2018
Charbono,red,74,2,75,0.99,2018
Cinsaut,red,72,4,76,0.95,2018
Counoise,red,50,3,53,0.94,2018
Dolcetto,red,83,0,84,0.99,2018
Dornfelder,red,67,0,68,0.99,2018
Gamay,red,251,0,251,1,2018
Graciano,red,48,2,50,0.96,2018
Grenache,red,4287,126,4413,0.97,2018
Lagrein,red,56,2,58,0.97,2018
Malbec,red,3682,140,3822,0.96,2018
Merlot,red,39394,392,39786,0.99,2018
Meunier,red,202,2,204,0.99,2018
Mission,red,408,1,409,1,2018
Montepulciano,red,92,5,98,0.94,2018
Mourvedre,red,1049,58,1107,0.95,2018
Muscat Hamburg,red,301,0,301,1,2018
Nebbiolo,red,139,4,142,0.98,2018
Petit Verdot,red,2897,511,3408,0.85,2018
Petite Sirah,red,10203,1265,11468,0.89,2018
Pinot Noir,red,42967,2337,45304,0.95,2018
Pinotage,red,52,1,53,0.98,2018
Primitivo,red,1269,65,1335,0.95,2018
Royalty,red,230,0,230,1,2018
Rubired,red,11319,271,11590,0.98,2018
Ruby Cabernet,red,4625,77,4701,0.98,2018
Sangiovese,red,1557,12,1569,0.99,2018
Souzao,red,86,0,86,1,2018
Syrah,red,16297,151,16448,0.99,2018
Tannat,red,533,36,569,0.94,2018
Tempranillo,red,887,55,942,0.94,2018
Teroldego,red,593,387,980,0.61,2018
Touriga Nacional,red,295,0,295,1,2018
Zinfandel,red,42837,373,43210,0.99,2018
Other Red Wine,red,5470,146,5617,0.97,2018
Albarino,white,269,79,347,0.78,2018
Arneis,white,55,0,55,1,2018
Burger,white,848,0,848,1,2018
Catarratto,white,99,0,99,1,2018
Chardonnay,white,91043,2408,93452,0.97,2018
Chenin Blanc,white,4737,53,4790,0.99,2018
French Colombard,white,18853,54,18907,1,2018
Gewurztraminer,white,1633,4,1636,1,2018
Grenache Blanc,white,306,23,329,0.93,2018
Gruner Veltliner,white,166,17,183,0.91,2018
Malvasia Bianca,white,1106,4,1110,1,2018
Marsanne,white,120,1,121,0.99,2018
Moscato Gaillo,white,151,0,151,1,2018
Muscat Blanc,white,2998,2,3001,1,2018
Muscat of Alexandria,white,4619,1,4620,1,2018
Muscat Orange,white,366,11,377,0.97,2018
Palomino,white,155,0,155,1,2018
Pinot Blanc,white,297,3,299,0.99,2018
Pinot Gris,white,14596,2284,16880,0.86,2018
Roussanne,white,316,7,323,0.98,2018
Sauvignon Blanc,white,14000,852,14851,0.94,2018
Sauvignon Musque,white,329,6,335,0.98,2018
Sauvignon Vert,white,53,0,53,1,2018
Semillon,white,571,7,578,0.99,2018
St. Emilion,white,99,1,100,0.99,2018
Symphony,white,1484,8,1492,0.99,2018
Tocai Friulano,white,51,0,51,1,2018
Triplett Blanc,white,985,0,985,1,2018
Verdelho,white,147,2,149,0.99,2018
Vermentino,white,82,9,91,0.9,2018
Viognier,white,2695,15,2710,0.99,2018
White Riesling,white,3840,9,3849,1,2018
Other White Wine,white,3857,95,3951,0.98,2018
