varietal,type,bearing,non_bearing,total,bearing_percent,year
Aglianico,red,58,4,62,0.94,2016
Alicante Bouschet,red,941,19,960,0.98,2016
Barbera,red,5240,176,5416,0.97,2016
Cabernet Franc,red,3323,332,3655,0.91,2016
Cabernet Sauvignon,red,82243,7455,89697,0.92,2016
Carignane,red,2683,10,2693,1,2016
Carmenere,red,59,15,74,0.8,2016
Carnelian,red,305,0,305,1,2016
Centurian,red,82,0,82,1,2016
Charbono,red,75,0,75,1,2016
Cinsaut,red,69,4,73,0.95,2016
Counoise,red,52,1,53,0.98,2016
Dolcetto,red,106,0,106,1,2016
Dornfelder,red,67,0,68,0.99,2016
Gamay,red,304,0,304,1,2016
Grenache,red,5294,141,5435,0.97,2016
Malbec,red,3295,383,3678,0.9,2016
Mataro,red,999,35,1034,0.97,2016
Merlot,red,42373,865,43239,0.98,2016
Meunier,red,189,2,192,0.98,2016
Mission,red,494,1,495,1,2016
Montepulciano,red,84,24,108,0.78,2016
Muscat Hamburg,red,281,0,281,1,2016
Nebbiolo,red,155,8,162,0.96,2016
Petit Verdot,red,2510,293,2803,0.9,2016
Petite Sirah,red,9059,1179,10238,0.88,2016
Pinot Noir,red,39831,4196,44027,0.9,2016
Pinotage,red,51,0,51,1,2016
Primitivo,red,586,588,1174,0.5,2016
Royalty,red,230,0,230,1,2016
Rubired,red,11924,529,12453,0.96,2016
Ruby Cabernet,red,5177,141,5318,0.97,2016
Sangiovese,red,1777,20,1797,0.99,2016
Souzao,red,87,2,89,0.98,2016
Syrah,red,17658,405,18063,0.98,2016
Tannat,red,492,58,550,0.89,2016
Tempranillo,red,886,66,951,0.93,2016
Teroldego,red,87,218,306,0.28,2016
Touriga Nacional,red,252,4,256,0.98,2016
Zinfandel,red,45087,1324,46411,0.97,2016
Other Red Wine,red,5471,299,5771,0.95,2016
Albarino,white,253,27,280,0.9,2016
Burger,white,978,0,978,1,2016
Catarratto,white,124,2,126,0.98,2016
Chardonnay,white,92634,4186,96819,0.96,2016
Chenin Blanc,white,4793,352,5144,0.93,2016
Emerald Riesling,white,51,0,51,1,2016
French Colombard,white,19746,937,20683,0.95,2016
Gewurztraminer,white,1597,35,1632,0.98,2016
Grenache Blanc,white,261,71,333,0.78,2016
Gruner Veltliner,white,149,2,151,0.99,2016
Hungarian Millenium,white,0,80,80,0,2016
Malvasia Bianca,white,1190,1,1191,1,2016
Marsanne,white,123,8,131,0.94,2016
Moscato Gaillo,white,151,0,151,1,2016
Muscat Blanc *,white,2830,353,3183,0.89,2016
Muscat of Alexandria,white,4911,227,5137,0.96,2016
Muscat Orange,white,374,11,385,0.97,2016
Palomino,white,173,0,173,1,2016
Pinot Blanc,white,408,0,408,1,2016
Pinot Gris,white,13043,2734,15777,0.83,2016
Roussanne,white,326,20,347,0.94,2016
Sauvignon Blanc,white,14824,379,15203,0.98,2016
Sauvignon Musque,white,324,0,324,1,2016
Sauvignon Vert,white,56,0,56,1,2016
Semillon,white,746,9,755,0.99,2016
St. Emilion,white,200,0,200,1,2016
Symphony,white,1598,0,1598,1,2016
Tocai Friulano,white,53,0,53,1,2016
Triplett Blanc,white,1016,4,1020,1,2016
Verdelho,white,113,44,157,0.72,2016
Vermentino,white,39,38,77,0.51,2016
Viognier,white,2905,64,2969,0.98,2016
White Riesling,white,4158,178,4336,0.96,2016
Other White Wine,white,3948,113,4061,0.97,2016
