varietal,type,bearing,non_bearing,total,bearing_percent,year
Aglianico,red,56,7,62,0.9,2014
Alicante Bouschet,red,932,4,937,0.99,2014
Barbera,red,6000,84,6084,0.99,2014
Cabernet Franc,red,3431,156,3587,0.96,2014
Cabernet Sauvignon,red,79805,6454,86258,0.93,2014
Carignane,red,2634,316,2950,0.89,2014
Carmenere,red,57,1,58,0.98,2014
Carnelian,red,438,0,438,1,2014
Centurian,red,84,0,84,1,2014
Charbono,red,88,1,89,0.99,2014
Cinsaut,red,79,2,82,0.96,2014
Counoise,red,53,4,58,0.91,2014
Dolcetto,red,109,1,110,0.99,2014
Dornfelder,red,46,19,65,0.71,2014
Gamay,red,287,13,299,0.96,2014
Grenache,red,5936,201,6137,0.97,2014
Malbec,red,2305,1075,3379,0.68,2014
Mataro,red,951,71,1022,0.93,2014
Merlot,red,44535,762,45296,0.98,2014
Meunier,red,204,0,204,1,2014
Mission,red,717,1,717,1,2014
Montepulciano,red,81,11,92,0.88,2014
Muscat Hamburg,red,345,91,436,0.79,2014
Nebbiolo,red,162,6,167,0.97,2014
Petit Verdot,red,2276,262,2537,0.9,2014
Petite Sirah,red,8438,1138,9576,0.88,2014
Pinot Noir,red,38999,2302,41301,0.94,2014
Pinotage,red,53,0,53,1,2014
Primitivo,red,328,446,774,0.42,2014
Royalty,red,230,0,230,1,2014
Rubired,red,11923,588,12511,0.95,2014
Ruby Cabernet,red,5764,125,5889,0.98,2014
Salvador,red,68,0,68,1,2014
Sangiovese,red,1823,45,1868,0.98,2014
Souzao,red,79,9,88,0.9,2014
Syrah,red,18791,228,19019,0.99,2014
Tannat,red,290,158,449,0.65,2014
Tempranillo,red,840,43,884,0.95,2014
Teroldego,red,82,20,101,0.81,2014
Touriga Francesca,red,55,0,55,1,2014
Touriga Nacional,red,269,1,270,1,2014
Zinfandel,red,47624,1014,48638,0.98,2014
Other Red Wine,red,5498,280,5777,0.95,2014
Albarino,white,194,23,217,0.89,2014
Burger,white,1162,0,1162,1,2014
Catarratto,white,149,10,159,0.94,2014
Chardonnay,white,94854,3115,97970,0.97,2014
Chenin Blanc,white,5820,147,5967,0.98,2014
Emerald Riesling,white,152,0,152,1,2014
French Colombard,white,20666,2058,22723,0.91,2014
Gewurztraminer,white,1656,425,2082,0.8,2014
Grenache Blanc,white,272,62,334,0.81,2014
Gruner Veltliner,white,83,11,94,0.88,2014
Malvasia Bianca,white,1186,86,1273,0.93,2014
Marsanne,white,122,4,126,0.97,2014
Moscato Gaillo,white,40,150,190,0.21,2014
Muscat Blanc,white,2014,523,2536,0.79,2014
Muscat of Alexandria,white,3659,856,4515,0.81,2014
Muscat Orange,white,259,116,374,0.69,2014
Palomino,white,236,0,236,1,2014
Pinot Blanc,white,411,10,421,0.98,2014
Pinot Gris,white,13196,557,13752,0.96,2014
Roussanne,white,330,11,340,0.97,2014
Sauvignon Blanc,white,15103,341,15444,0.98,2014
Sauvignon Musque,white,238,1,239,1,2014
Semillon,white,815,5,819,1,2014
St. Emilion,white,198,2,200,0.99,2014
Symphony,white,1472,232,1703,0.86,2014
Tocai Friulano,white,115,5,120,0.96,2014
Triplett Blanc,white,944,4,948,1,2014
Verdelho,white,90,25,115,0.78,2014
Viognier,white,2988,51,3039,0.98,2014
White Riesling,white,4100,195,4294,0.95,2014
Other White Wine,white,3776,176,3952,0.96,2014
